x_px,y_px
1975,546
1976,540
1977,538
1978,536
1979,535
1980,534
1981,534
1982,534
1983,534
1984,534
1985,534
1986,534
1987,534
1988,534
1989,534
1990,535
1991,535
1992,535
1993,535
1994,535
1995,535
1996,535
1997,535
1998,535
1999,535
2000,535
2001,535
2002,548
2003,548
2004,548
2005,548
2006,548
2007,548
2008,548
2009,548
2010,547
2011,547
2012,547
2013,547
2014,547
2015,547
2016,547
2017,547
2018,547
2019,547
2020,548
2021,548
2022,548
2023,548
2024,548
2025,549
2026,555
2027,556
2028,557
2029,559
2030,560
2031,560
2032,560
2033,560
2034,560
2035,560
2036,560
2037,551
2038,551
2039,551
2040,551
2041,550
2042,548
2043,503
2094,741
2095,741
2096,741
2097,741
2098,741
2099,741
2100,753
2101,764
2102,797
2103,816
2104,833
2105,856
2106,864
2107,864
2108,864
2109,864
2110,864
2111,864
2112,864
2113,864
2114,864
2115,864
2116,864
2117,864
2118,864
2119,864
2120,834
2121,834
2122,834
2123,834
2124,833
2125,696
2126,695
2127,694
2128,503
2129,502
2130,496
2131,494
2132,493
2133,492
2134,491
2135,491
2136,491
2137,491
2138,491
2139,491
2140,491
2141,491
2142,491
2143,491
2144,501
2145,480
2146,480
2147,479
2148,478
2149,449
2150,449
2151,449
2152,449
2153,449
2154,453
2155,470
2156,471
2157,472
2158,474
2159,487
2160,515
2161,517
2162,517
2163,517
2164,517
2165,517
2166,518
2167,519
2168,523
2169,523
2170,523
2171,523
2172,523
2173,523
2174,523
2175,523
2176,523
2177,523
2178,523
2179,552
2180,565
2181,566
2182,567
2183,568
2184,584
2185,591
2186,593
2187,594
2188,594
2189,602
2190,621
2191,639
2192,648
2193,649
2194,651
2195,652
2196,653
2197,654
2198,654
2199,654
2200,654
2201,654
2202,654
2203,654
2204,654
2205,643
2206,643
2207,643
2208,643
2209,643
2210,643
2211,642
2212,615
2213,613
2214,492
2215,492
2216,490
2217,479
2218,475
2219,471
2220,468
2221,464
2222,460
2223,456
2224,453
2225,449
2226,445
2227,445
2228,445
2229,445
2230,445
2231,439
2232,437
2233,435
2234,424
2235,424
2236,424
2237,424
2238,424
2239,424
2240,421
2241,446
2242,447
2243,448
2244,450
2245,473
2246,474
2247,474
2248,474
2249,474
2250,474
2251,475
2252,475
2253,475
2254,475
2255,476
2256,494
2257,506
2258,521
2259,540
2260,563
2261,578
2262,595
2263,614
2264,623
2265,624
2266,625
2267,628
2268,633
2269,633
2270,634
2271,635
2272,635
2273,635
2274,635
2275,635
2276,635
2277,635
2278,651
2279,657
2280,462
2281,460
2282,460
2283,460
2284,460
2285,460
2286,460
2317,666
2318,666
2319,666
2320,666
2321,666
2322,666
2323,666
2324,666
2325,625
2326,547
2327,547
2328,546
2329,545
2330,545
2331,545
2332,545
2333,545
2334,547
2335,549
2336,550
2337,551
2338,553
2339,577
2340,585
2341,590
2368,451
2369,451
2370,451
2371,451
2372,451
2373,449
2374,449
2375,449
2376,449
2377,449
2378,448
2379,446
2380,443
2381,443
2382,442
2383,440
2384,438
2385,437
2386,435
2387,433
2388,432
2389,430
2390,428
2391,426
2392,424
2393,423
2394,421
2395,421
2396,421
2397,421
2398,421
2399,421
2400,421
2401,421
2402,421
2403,421
2404,421
2405,421
2406,421
2407,421
2408,434
2409,448
2410,457
2411,458
2412,461
2413,481
2414,500
2415,506
2416,506
2417,506
2418,506
2419,506
2420,506
2421,506
2422,506
2423,506
2424,506
2425,506
2426,506
2427,506
2428,506
2429,506
2430,506
2431,506
2432,506
2433,507
2434,508
2435,515
2436,537
2437,546
2438,547
2439,548
2440,549
2441,564
2442,565
2443,566
2444,566
2445,568
2446,580
2447,584
2448,593
2449,594
2450,609
2451,618
2452,638
2453,652
2454,672
2455,674
2456,675
2457,676
2458,676
2459,676
2460,676
2461,676
2462,676
2463,676
2464,676
2465,676
2466,676
2467,676
2468,676
2469,676
2470,676
2471,676
2472,676
2473,682
2474,684
2475,685
2476,707
2477,715
2478,520
2479,520
2480,520
2481,520
2482,520
2483,520
2484,517
2485,534
2486,482
2487,482
2488,481
2503,670
2504,670
2505,670
2506,670
2507,670
2508,670
2509,670
2510,670
2511,670
2512,670
2513,670
2514,670
2515,670
2516,670
2517,670
