x_px,y_px
1767,663
1768,664
1769,665
1770,687
1771,690
1772,690
1773,690
1774,690
1775,690
1776,690
1777,690
1778,654
1779,654
1780,654
1781,654
1782,654
1783,654
1784,654
1785,654
1786,654
1787,654
1788,652
1789,593
1790,534
1791,534
1792,537
1793,538
1794,538
1795,538
1796,538
1797,538
1798,538
1799,538
1800,538
1801,539
1802,545
1803,546
1804,546
1805,546
1806,546
1807,547
1808,548
1809,550
1810,551
1811,551
1812,551
1813,551
1814,552
1815,554
1816,559
1817,559
1818,559
1819,559
1820,559
1821,559
1822,559
1823,559
1824,559
1825,559
1826,559
1827,559
1828,559
1829,559
1830,559
1831,559
1832,559
1833,559
1834,559
1835,559
1836,550
1837,549
1838,549
1839,549
1840,549
1841,549
1842,549
1843,549
1844,549
1845,549
1846,549
1847,549
1848,547
1849,521
1850,520
1851,515
1852,512
1853,508
1854,484
1855,482
1856,466
1857,466
1858,466
1859,465
1860,464
1861,464
1862,464
1863,464
1864,464
1865,464
1866,464
1867,464
1868,464
1869,464
1870,464
1871,464
1872,464
1873,464
1874,464
1875,464
1876,464
1877,464
1878,464
1879,461
1880,491
1881,509
1882,528
1883,547
1884,566
1885,586
1886,605
1887,624
1888,643
1889,662
1890,662
1891,662
1892,662
1893,662
1894,662
1895,662
1896,662
1897,662
1898,662
1899,662
1900,662
1901,662
1902,675
1903,693
1904,694
1905,694
1906,694
1907,694
1908,694
1909,694
1910,694
1911,630
1912,630
1913,630
1914,629
1915,629
1916,629
1917,629
1918,629
1919,629
1920,629
1921,629
1922,629
1923,629
1924,629
1925,629
1926,629
1927,629
1928,629
1929,624
1930,624
1931,624
1932,624
1933,624
1934,624
1935,625
1936,625
1937,625
1938,626
1939,626
1940,626
1941,626
1942,626
1943,627
1944,627
1945,627
1946,627
1947,627
1948,627
1949,628
1950,628
1951,628
1952,628
1953,628
1954,628
1955,628
1956,628
1957,628
1958,628
1959,628
1960,618
1961,605
1962,605
1963,605
1964,605
1965,605
1966,604
1967,602
1968,585
1969,549
1970,548
1971,546
1972,545
1973,544
1974,537
1975,535
1976,534
1977,532
1978,531
